section,bucket,group_A,group_B
Jaborosa,36,96654,135070
Jaborosa,37,128656,110220
Jaborosa,38,130616,221400
Jaborosa,39,124468,107260
Jaborosa,40,118969,69300
Jaborosa,41,100234,91370
Jaborosa,42,75100,78560
Jaborosa,43,67665,67230
Jaborosa,44,81766,70350
Jaborosa,45,134719,230380
Jaborosa,46,130175,110300
Jaborosa,47,78236,44740
Jaborosa,48,66131,76830
Jaborosa,49,56579,21980
Jaborosa,50,72633,74890
Jaborosa,51,76720,40200
Jaborosa,52,79364,37750
Jaborosa,53,71268,62060
Jaborosa,54,72492,106580
Jaborosa,55,84702,88240
Jaborosa,56,53310,41940
Jaborosa,57,42260,53970
Jaborosa,58,41015,22090
Jaborosa,59,34305,36550
Jaborosa,60,26178,46190
Jaborosa,61,25013,22570
Jaborosa,62,30692,33150
Jaborosa,63,35749,29210
Jaborosa,64,36834,49730
Jaborosa,65,43817,25340
Jaborosa,66,50869,48300
Jaborosa,67,48587,38910
Jaborosa,68,26227,24980
Jaborosa,69,19994,43680
Jaborosa,70,20212,12780
Jaborosa,71,23677,16100
Jaborosa,72,29242,45270
Jaborosa,73,30226,46970
Jaborosa,74,28571,28580
Jaborosa,75,18649,25720
Jaborosa,76,25503,12400
Jaborosa,77,18508,14850
Jaborosa,78,7736,15510
Jaborosa,79,7718,9880
Jaborosa,80,13318,14080
Jaborosa,81,29298,30070
Jaborosa,82,28767,14200
Jaborosa,83,15334,28170
Jaborosa,84,14154,9150
Jaborosa,85,18919,10900
Jaborosa,86,19214,9250
Jaborosa,87,17510,8670
Jaborosa,88,22240,9700
Jaborosa,89,22047,13250
Jaborosa,90,27866,45030
Jaborosa,91,25771,23060
Jaborosa,92,18558,33260
Jaborosa,93,16412,13990
Jaborosa,94,19170,8860
Jaborosa,95,10204,14030
Jaborosa,96,8429,7630
Jaborosa,97,5550,7680
Jaborosa,98,6058,5750
Jaborosa,99,8755,12130
Jaborosa,100,7179,11350
Jaborosa,101,5445,10330
Jaborosa,102,6886,8960
Jaborosa,103,5187,4910
Jaborosa,104,8470,5190
Jaborosa,105,7455,7550
Jaborosa,106,7608,7450
Jaborosa,107,9976,9610
Jaborosa,108,12670,12960
Jaborosa,109,10854,13860
Jaborosa,110,11604,11230
Jaborosa,111,10376,10870
Jaborosa,112,11193,12420
Jaborosa,113,13621,9190
Jaborosa,114,12518,9560
Jaborosa,115,16556,6510
Jaborosa,116,15101,11420
Jaborosa,117,8748,7300
Jaborosa,118,4562,5330
Jaborosa,119,6464,8670
Jaborosa,120,6956,8580
Jaborosa,121,5446,10450
Jaborosa,122,4637,3900
Jaborosa,123,4555,4370
Jaborosa,124,5845,5910
Jaborosa,125,5393,5450
Jaborosa,126,3809,3970
Jaborosa,127,6004,3850
Jaborosa,128,7178,4900
Jaborosa,129,6891,2850
Jaborosa,130,5123,7300
Jaborosa,131,5334,9430
Jaborosa,132,5234,6320
Jaborosa,133,3741,5370
Jaborosa,134,3858,2510
Jaborosa,135,4832,7980
Jaborosa,136,3913,3770
Jaborosa,137,3769,6370
Jaborosa,138,5636,4090
Jaborosa,139,7811,13150
Jaborosa,140,8750,6120
Jaborosa,141,7541,4310
Jaborosa,142,8638,2940
Jaborosa,143,8454,2340
Jaborosa,144,8495,12180
Jaborosa,145,11860,2690
Jaborosa,146,13644,26060
Jaborosa,147,5346,3670
Jaborosa,148,4504,5810
Jaborosa,149,8730,2180
Jaborosa,150,2552,5190
Jaborosa,151,2344,4060
Jaborosa,152,2013,1740
Jaborosa,153,1803,1590
Jaborosa,154,1487,2270
Jaborosa,155,1404,2690
Jaborosa,156,1900,2740
Jaborosa,157,2863,2820
Jaborosa,158,2467,2330
Jaborosa,159,1466,2810
Jaborosa,160,2021,2400
Jaborosa,161,2209,1660
Jaborosa,162,2965,2770
Jaborosa,163,3955,3370
Jaborosa,164,4513,5430
Jaborosa,165,2410,1340
Jaborosa,166,2106,1040
Jaborosa,167,4995,2370
Jaborosa,168,4553,4360
Jaborosa,169,1431,1200
Jaborosa,170,1629,4930
Jaborosa,171,1213,1040
Jaborosa,172,950,1320
Jaborosa,173,885,1010
Jaborosa,174,1201,1000
Jaborosa,175,1086,1660
Jaborosa,176,1187,490
Jaborosa,177,1288,1260
Jaborosa,178,1488,1460
Jaborosa,179,4369,3510
Jaborosa,180,9272,15120
Jaborosa,181,7913,6180
Jaborosa,182,6226,4580
Jaborosa,183,6419,4110
Jaborosa,184,3666,2690
Jaborosa,185,5690,850
Jaborosa,186,9363,11930
Jaborosa,187,10176,9910
Jaborosa,188,3334,3230
Jaborosa,189,908,1370
Jaborosa,190,1122,680
Jaborosa,191,887,860
Jaborosa,192,734,1540
Jaborosa,193,975,1210
Jaborosa,194,988,870
Jaborosa,195,1210,960
Jaborosa,196,4257,7000
Jaborosa,197,5530,3530
Jaborosa,198,2881,2000
Jaborosa,199,4463,2920
Jaborosa,200,202951,202920
Kalmia,0,0,0
Kalmia,1,6,0
Kalmia,2,30,20
Kalmia,3,28,10
Kalmia,4,15,20
Kalmia,5,33,40
Kalmia,6,44,20
Kalmia,7,44,60
Kalmia,8,85,70
Kalmia,9,68,120
Kalmia,10,78,80
Kalmia,11,36,0
Kalmia,12,67,30
Kalmia,13,34,20
Kalmia,14,55,60
Kalmia,15,49,40
Kalmia,16,33,20
Kalmia,17,53,40
Kalmia,18,55,60
Kalmia,19,27,10
Kalmia,20,29,30
Kalmia,21,26,10
Kalmia,22,40,10
Kalmia,23,40,40
Kalmia,24,39,50
Kalmia,25,27,20
Kalmia,26,44,50
Kalmia,27,50,60
Kalmia,28,23,30
Kalmia,29,18,30
Kalmia,30,28,20
Kalmia,31,18,40
Kalmia,32,33,40
Kalmia,33,19,40
Kalmia,34,13,40
Kalmia,35,17,10
Kalmia,36,19,30
Kalmia,37,37,30
Kalmia,38,13,30
Kalmia,39,8,10
Kalmia,40,21,10
Kalmia,41,25,30
Kalmia,42,16,20
Kalmia,43,8,0
Kalmia,44,13,10
Kalmia,45,24,30
Kalmia,46,13,10
Kalmia,47,10,10
Kalmia,48,4,10
Kalmia,49,9,20
Kalmia,50,8,0
Kalmia,51,8,20
Kalmia,52,5,10
Kalmia,53,14,10
Kalmia,54,13,30
Kalmia,55,8,0
Kalmia,56,5,0
Kalmia,57,2,10
Kalmia,58,6,0
Kalmia,59,7,0
Kalmia,60,8,0
Kalmia,61,3,10
Kalmia,62,2,0
Kalmia,63,8,10
Kalmia,64,11,0
Kalmia,65,5,0
Kalmia,66,4,0
Kalmia,67,4,10
Kalmia,68,1,0
Kalmia,69,7,0
Kalmia,70,2,0
Kalmia,71,2,0
Kalmia,72,9,0
Kalmia,73,21,10
Kalmia,74,2,0
Kalmia,75,4,0
Kalmia,76,0,0
Kalmia,77,11,0
Kalmia,78,1,0
Kalmia,79,3,0
Kalmia,80,9,10
Kalmia,81,5,0
Kalmia,82,3,20
Kalmia,83,0,0
Kalmia,84,3,0
Kalmia,85,6,10
Kalmia,86,0,0
Kalmia,87,2,0
Kalmia,88,3,10
Kalmia,89,1,0
Kalmia,90,13,10
